T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
17.5;10000;desc;2;5956.8;0.16548
17.5;10000;desc;3;5896.0;0.16462
17.5;10000;desc;4;5835.3;0.16423
17.5;10000;desc;5;5774.5;0.16323
17.5;10000;desc;6;5713.7;0.16190
17.5;10000;desc;7;5652.9;0.16147
17.5;10000;desc;8;5592.1;0.16083
17.5;10000;desc;9;5531.3;0.16016
17.5;10000;desc;10;5470.6;0.15859
17.5;10000;desc;11;5409.8;0.15656
17.5;10000;desc;12;5349.0;0.15557
17.5;10000;desc;13;5288.2;0.15479
17.5;10000;desc;14;5227.4;0.15373
17.5;10000;desc;15;5166.6;0.15234
17.5;10000;desc;16;5105.9;0.15133
17.5;10000;desc;17;5045.1;0.15051
17.5;10000;desc;18;4984.3;0.15005
17.5;10000;desc;19;4923.5;0.14984
17.5;10000;desc;20;4862.7;0.14897
17.5;10000;desc;21;4801.9;0.14754
17.5;10000;desc;22;4741.1;0.14565
17.5;10000;desc;23;4680.4;0.14423
17.5;10000;desc;24;4619.6;0.14342
17.5;10000;desc;25;4558.8;0.14266
17.5;10000;desc;26;4498.0;0.14171
17.5;10000;desc;27;4437.2;0.14039
17.5;10000;desc;28;4376.4;0.13909
17.5;10000;desc;29;4315.7;0.13724
17.5;10000;desc;30;4254.9;0.13605
17.5;10000;desc;31;4194.1;0.13499
17.5;10000;desc;32;4133.3;0.13432
17.5;10000;desc;33;4072.5;0.13372
17.5;10000;desc;34;4011.7;0.13249
17.5;10000;desc;35;3951.0;0.13087
17.5;10000;desc;36;3890.2;0.12947
17.5;10000;desc;37;3829.4;0.12810
17.5;10000;desc;38;3768.6;0.12673
17.5;10000;desc;39;3707.8;0.12559
17.5;10000;desc;40;3647.0;0.12430
17.5;10000;desc;41;3586.3;0.12310
17.5;10000;desc;42;3525.5;0.12272
17.5;10000;desc;43;3464.7;0.12149
17.5;10000;desc;44;3403.9;0.12069
17.5;10000;desc;45;3343.1;0.11923
17.5;10000;desc;46;3282.3;0.11634
17.5;10000;desc;47;3221.5;0.11518
17.5;10000;desc;48;3160.8;0.11424
17.5;10000;desc;49;3100.0;0.11345
17.5;10000;desc;50;3039.2;0.11200
17.5;10000;desc;51;2978.4;0.10994
17.5;10000;desc;52;2917.6;0.10885
17.5;10000;desc;53;2856.8;0.10825
17.5;10000;desc;54;2796.1;0.10703
17.5;10000;desc;55;2735.3;0.10524
17.5;10000;desc;56;2674.5;0.10394
17.5;10000;desc;57;2613.7;0.10273
17.5;10000;desc;58;2552.9;0.10091
17.5;10000;desc;59;2492.1;0.09930
17.5;10000;desc;60;2431.4;0.09749
17.5;10000;desc;61;2370.6;0.09675
17.5;10000;desc;62;2309.8;0.09612
17.5;10000;desc;63;2249.0;0.09309
17.5;10000;desc;64;2188.2;0.09078
17.5;10000;desc;65;2127.4;0.08980
17.5;10000;desc;66;2066.7;0.08871
17.5;10000;desc;67;2005.9;0.08766
17.5;10000;desc;68;1945.1;0.08515
17.5;10000;desc;69;1884.3;0.08325
17.5;10000;desc;70;1823.5;0.08184
17.5;10000;desc;71;1762.7;0.08041
17.5;10000;desc;72;1702.0;0.07775
17.5;10000;desc;73;1641.2;0.07630
17.5;10000;desc;74;1580.4;0.07531
17.5;10000;desc;75;1519.6;0.07384
17.5;10000;desc;76;1458.8;0.07234
17.5;10000;desc;77;1398.0;0.07030
17.5;10000;desc;78;1337.2;0.06918
17.5;10000;desc;79;1276.5;0.06690
17.5;10000;desc;80;1215.7;0.06457
17.5;10000;desc;81;1154.9;0.06275
17.5;10000;desc;82;1094.1;0.06106
17.5;10000;desc;83;1033.3;0.05928
17.5;10000;desc;84;972.5;0.05715
17.5;10000;desc;85;911.8;0.05581
17.5;10000;desc;86;851.0;0.05294
